ex_date,amount,franking,type,payable
26/02/2020,0.08,100%,Interim,27/03/2020  
28/08/2019,0.08,100%,Final,26/09/2019  
27/02/2019,0.08,100%,Interim,29/03/2019  
29/08/2018,0.11,100%,Final,27/09/2018  
28/02/2018,0.11,100%,Interim,29/03/2018  
30/08/2017,0.16,100%,Final,28/09/2017  
01/03/17,0.16,100%,Interim,31/03/2017  
24/08/2016,0.16,100%,Final,23/09/2016  
01/03/16,0.16,100%,Interim,01/04/16
25/08/2015,0.16,100%,Final,25/09/2015  
25/02/2015,0.15,100%,Interim,27/03/2015  
27/08/2014,0.15,100%,Final,26/09/2014  
24/02/2014,0.15,100%,Interim,28/03/2014  
19/08/2013,0.14,100%,Final,20/09/2013  
18/02/2013,0.14,100%,Interim,22/03/2013  
