date,open,high,low,close,volume
03/04/2000,7.706,7.774,7.65,7.774,7873082
04/04/2000,7.7,7.7,7.6,7.68,8705281
05/04/2000,7.56,7.63,7.52,7.61,9906558
06/04/2000,7.62,7.64,7.49,7.53,9033849
07/04/2000,7.593,7.67,7.56,7.67,8327451
10/04/2000,7.56,7.64,7.55,7.62,7638402
11/04/2000,7.519,7.6,7.5,7.52,6051685
12/04/2000,7.49,7.73,7.48,7.64,4221756
13/04/2000,7.5,7.5,7.37,7.41,19566680
14/04/2000,7.45,7.5,7.36,7.49,8909222
17/04/2000,6.95,7.24,6.95,7.12,20718990
18/04/2000,7.4,7.4,7.25,7.35,14068790
19/04/2000,7.367,7.56,7.367,7.55,13124390
20/04/2000,7.5,7.58,7.46,7.52,6292329
26/04/2000,7.589,7.637,7.49,7.637,12285980
27/04/2000,7.612,7.62,7.45,7.48,9221606
28/04/2000,7.4,7.42,7.29,7.34,13439040
01/05/2000,7.26,7.42,7.26,7.35,4964521
02/05/2000,7.37,7.38,7.19,7.21,11545740
03/05/2000,7,7.13,7,7.067,15187890
04/05/2000,6.98,7.04,6.95,6.98,10659740
05/05/2000,6.95,6.99,6.9,6.95,11388500
08/05/2000,6.97,6.98,6.82,6.87,17173680
09/05/2000,6.78,6.81,6.7,6.7,15738900
10/05/2000,6.55,6.67,6.49,6.61,16500540
11/05/2000,6.5,6.84,6.5,6.75,10918080
12/05/2000,6.905,6.96,6.88,6.916,8294605
15/05/2000,6.92,6.94,6.7,6.79,7876517
16/05/2000,6.855,6.88,6.77,6.79,7049548
17/05/2000,6.8,6.81,6.57,6.615,10184420
18/05/2000,6.55,6.66,6.55,6.61,7010531
19/05/2000,6.6,6.64,6.58,6.58,9018035
22/05/2000,6.5,6.58,6.5,6.502,6843417
23/05/2000,6.55,6.67,6.54,6.65,8184712
24/05/2000,6.54,6.6,6.53,6.55,9209842
25/05/2000,6.7,6.8,6.6,6.79,10437160
26/05/2000,6.75,6.87,6.73,6.83,17011230
29/05/2000,6.85,6.98,6.85,6.96,8190574
30/05/2000,6.99,7.08,6.93,6.95,7259265
31/05/2000,7.09,7.09,6.8,6.8,13883010
01/06/2000,6.8,6.97,6.77,6.92,10158680
02/06/2000,6.96,7.01,6.87,6.877,8701148
05/06/2000,6.99,6.99,6.87,6.87,4664532
06/06/2000,6.87,6.88,6.76,6.83,6056796
07/06/2000,6.83,6.86,6.79,6.85,7597747
08/06/2000,6.9,6.96,6.87,6.94,9790708
09/06/2000,6.9,6.94,6.88,6.92,11015860
13/06/2000,6.858,6.91,6.8,6.817,10935230
14/06/2000,6.811,6.82,6.73,6.768,7849805
15/06/2000,6.77,6.77,6.65,6.7,23390290
16/06/2000,6.7,6.7,6.62,6.66,10650060
19/06/2000,6.6,6.65,6.58,6.65,18421290
20/06/2000,6.65,6.65,6.56,6.61,19685930
21/06/2000,6.59,6.652,6.55,6.652,10744830
